order_id,order_date,region,category,product,sales_rep,quantity,unit_price,discount,revenue,cost
ORD-1001,2025-10-16,Central,Electronics,Laptop,Ana Cruz,5,378.66,0,1893.3,1270.29
ORD-1002,2025-08-27,North,Furniture,Desk,Eli Khan,1,154.14,0,154.14,92.73
ORD-1003,2024-07-22,North,Clothing,Hat,Ben Lee,7,342.35,0.1,2156.81,1150.57
ORD-1004,2025-03-08,North,Furniture,Bookshelf,Dara Patel,3,334.74,0.2,803.38,442.64
ORD-1005,2024-04-09,North,Furniture,Bookshelf,Dara Patel,5,1213.59,0.15,5157.76,3031.87
ORD-1006,2024-03-21,South,Clothing,Jacket,Chen Wu,6,872.37,0.15,4449.09,2094.93
ORD-1007,2024-03-22,South,Electronics,Laptop,Chen Wu,7,427.79,0.15,2545.35,1782.34
ORD-1008,2024-12-29,South,Electronics,Tablet,Ben Lee,2,919.56,0,1839.12,1122.31
ORD-1009,2025-04-18,North,Furniture,Bookshelf,Ben Lee,4,1031.65,0.2,3301.28,2246.5
ORD-1010,2024-02-02,East,Furniture,Sofa,Ben Lee,5,113.29,0.1,509.81,363.45
ORD-1011,2025-11-02,Central,Furniture,Sofa,Eli Khan,8,227.16,0,1817.28,952.23
ORD-1012,2024-09-26,South,Clothing,Hat,Eli Khan,7,1348.27,0.05,8966.0,5008.4
ORD-1013,2025-05-20,West,Electronics,Laptop,Eli Khan,2,241.97,0,483.94,332.77
ORD-1014,2024-03-06,North,Furniture,Sofa,Fei Lin,8,800.73,0.1,5765.26,4083.15
ORD-1015,2024-04-27,West,Clothing,Hat,Ben Lee,5,1156.37,0,5781.85,2795.33
ORD-1016,2025-04-09,East,Electronics,Tablet,Fei Lin,3,768.91,0,2306.73,1640.44
ORD-1017,2025-06-03,Central,Clothing,Jeans,Ana Cruz,3,570.26,0,1710.78,1046.68
ORD-1018,2025-09-05,East,Furniture,Sofa,Ben Lee,1,181.12,0,181.12,129.25
ORD-1019,2024-02-29,Central,Electronics,Monitor,Ben Lee,2,142.2,0.05,270.18,187.72
ORD-1020,2024-05-11,South,Clothing,Sneakers,Eli Khan,3,408.61,0.2,980.66,619.76
ORD-1021,2024-07-24,Central,Clothing,Jacket,Dara Patel,7,1492.8,0.15,8882.16,4992.01
ORD-1022,2024-05-03,Central,Electronics,Phone,Ben Lee,2,517.06,0.1,930.71,573.48
ORD-1023,2024-01-08,North,Electronics,Laptop,Eli Khan,4,115.09,0,460.36,325.88
